inv_ID,quantity,type,uhs_SKU, $ ,count,,price per,total value,sell value,,,
0067,2,remote,R-GM-502, $7.19 ,1,, $7.19 , $14.38 ,60,,,
0068,1,remote,R-GM-301, $7.20 ,1,, $7.20 , $7.20 ,60,,,
0069,2,transponder,K-N104, $2.99 ,1,, $2.99 , $5.98 ,80,,,
0070,2,transponder,K-N102T, $3.99 ,1,, $3.99 , $7.98 ,80,,,
0071,1,flip,RFK-TOY-BFB-4, $24.99 ,1,, $24.99 , $24.99 ,120,,,
0072,1,combo,RHK-TOY-BDM-G-4, $15.26 ,1,, $15.26 , $15.26 ,120,,,
0073,1,combo,RHK-TOY-BDM-H-4, $14.99 ,1,, $14.99 , $14.99 ,120,,,
0074,1,combo,RHK-TOY-29T-G3, $11.99 ,1,, $11.99 , $11.99 ,120,,,
0075,1,combo,RHK-TOY-29T-67-4B, $14.04 ,1,, $14.04 , $14.04 ,120,,,
0076,1,smart,RSK-TOY-00204, $49.99 ,1,, $49.99 , $49.99 ,160,,,
