inv_ID,OOS,inv_count,type,on_van,on_base,UHS_SKU,chip_ID,FCC_ID,blade_ID,freq,total_sold,avg_cost,avg_sale,img,total_value
0022,,2,,1,flip,2,0,RFK-FD-RA04,"TEXAS ID 4D 63 128 BIT, 49",N5F-A08TDA,n/a,902 MHz,0,38.99,120,n/a,77.98,https://www.uhs-hardware.com/products/2015-2022-ford-f-series-raptor-ranger-4-button-flip-key-164-r8134-n5f-a08tda-aftermarket
0023,,1,,1,flip,1,0,RFK-KIA-FT04,n/a,OSLOKA-875T  OSLOKA875T,n/a,433 MHz,0,29.95,120,n/a,29.95,https://www.uhs-hardware.com/products/2017-2018-kia-forte-4-button-flip-key-pn-95430-a7200-osloka-875t-yd-aftermarket
0024,,1,,1,flip,1,0,RFK-KIA-022,n/a,SY5JFRGE04,n/a,434 MHz,0,21.95,120,n/a,21.95,https://www.uhs-hardware.com/products/2016-2020-kia-optima-4-button-flip-key-pn-95430-d4010-sy5jfrge04-jf-4bt-aftermarket
0025,,1,,1,flip,1,0,RFK-KIA066,n/a,OSLOKA-910T (UM),n/a,433 Mhz,0,39.99,120,n/a,39.99,https://www.uhs-hardware.com/products/2015-2020-kia-sorento-4-button-flip-key-pn-95430-c5101-osloka-910t-um-oem-refurb
0026,x,RFK-KIA-SO19,1
0027,,1,,1,flip,1,0,RFK-KIA-OPT4,n/a,NYODD4TX1306-TFL,n/a,315 Mhz,0,32.95,120,n/a,32.95,https://www.uhs-hardware.com/products/2014-2015-kia-optima-4-button-flip-key-pn-95430-2t560-nyodd4tx1306-tfl-aftermarket
0028,,1,,1,flip,1,0,RFK-KIA-022,n/a,SY5JFRGE04,n/a,434 MHz,0,21.95,120,n/a,21.95,https://www.uhs-hardware.com/products/2016-2020-kia-optima-4-button-flip-key-pn-95430-d4010-sy5jfrge04-jf-4bt-aftermarket
0029,,1,,1,flip,1,0,RFK-HY-SNFE4,n/a,TQ8-RKE-4F31,FKB-HY-092,433 MHz,0,13.99,120,n/a,13.99,https://www.uhs-hardware.com/products/2015-2019-hyundai-santa-fe-4-button-flip-key-tq8-rke-4f31-rfk-hy-snfe4
0030,,1,,1,flip,1,0,RFK-HY-SON17,Non-Transponder,TQ8-RKE-4F16,n/a,433 MHz,0,28.0,120,n/a,28.0,https://www.uhs-hardware.com/products/2015-2017-hyundai-sonata-4-button-flip-key-pn-95430-c1010-tq8-rke-4f16
0031,,1,,1,flip,1,0,RFK-HY-SN25,n/a,TQ8-RKE-4F25 (LF 4BT),n/a,433 Mhz,0,28.0,120,n/a,28.0,https://www.uhs-hardware.com/products/2017-2020-hyundai-sonata-4-button-remote-flip-key-pn-95430-c1210-tq8-rke-4f25-lf-4bt-rfk-hy-sn25
